instruction,image_path
"a bustling manga street, devoid of vehicles, detailed with vibrant colors and dynamic line work, characters in the background adding life and movement, under a soft golden hour light, with rich textures and a lively atmosphere, high resolution, sharp focus",data/images/img_0.png
"Alice in a vibrant, dreamlike digital painting inside the Nemo Nautilus submarine.",data/images/img_1.png
"An ethereal double portal with two paths illuminated by soft golden hour light, figures poised at the gateway in dynamic perspective, rendered in vibrant digital hues and sharp lines, with a serene mood and rich textures.",data/images/img_2.png
"A majestic white fox crowned with delicate blue and white flowers, its fur intricately lace-like, set against a deep black backdrop, captured in crisp, high-contrast CineStill with a soft golden hour light.",data/images/img_3.png
"a bustling kitchen, vibrant color palette, dynamic anime style, Studio Ghibli aesthetics, detailed character interactions, warm golden hour light, playful exaggeration, high resolution, rich textures",data/images/img_4.png
"cinematic album cover: symmetrical, twilight fog, deep purple sky, vast sand dunes, dramatic chiaroscuro lighting, rich hues, high resolution, photorealistic",data/images/img_5.png
"8-bit movie poster for Mad Max with older Mel Gibson and younger female companion, pixelated title text, vibrant retro colors, blocky characters, and a pixel-perfect wasteland backdrop, dynamic perspective, high resolution, sharp focus, dramatic chiaroscuro lighting, energetic atmosphere",data/images/img_6.png
"Pixel art portrait of a ruggedly handsome pirate with red, long hair. 8-bit style, vibrant colors.",data/images/img_7.png
"Midnight scene with a silicon mountain, black sky, and black clouds, illustrated in precise technical style, soft golden hour light, high resolution, 2560x1080 pixels, sharp focus, ethereal glow.",data/images/img_8.png
"a pile of cash on a stone floor, anime key visual, vibrant color palette, dynamic shadows, exaggerated expressions, intricate details, sleek lines, dramatic chiaroscuro lighting, high resolution, sharp focus",data/images/img_9.png
"emerald crystal egg, opal, ice, intricate details, cinemascope, dramatic chiaroscuro lighting, wide-angle shot, deep depth of field, cinematic atmosphere, high resolution.",data/images/img_10.png
"Ethereal fantasy emoticons, foxes in whimsical poses with enchanting expressions, floating in a luminescent mist, surrounded by delicate, glowing flora. Soft golden hour light, vibrant color palette, high resolution, sticker set, enchanted template.",data/images/img_11.png
"Portrait of Ernest Khalimov, thinking, sigma male, black hair, Nordic crown, black suit, elegant, anime style, sharp lines, vibrant shading, dynamic lighting, dramatic expression, monochromatic, high contrast, detailed, digital illustration.",data/images/img_12.png
"A neon-lit Saint Bernard with paws raised, Chiyo-chan on its shoulders, surrounded by vaporwave colors and digital plants.",data/images/img_13.png
"a boy and a tiger, digital illustration, vibrant color palette, sharp details, dynamic composition, stylized shadows, glowing highlights, ethereal glow, high resolution",data/images/img_14.png
"dark witch in high heels, full-body, pixel art, sharp lines, monochromatic shadows",data/images/img_15.png
